1;16;2;0;0;9;10;3.20;1;1;1;93;0;910;-2;0
1;16;2;0;0;10;92;3.80;1;1;1;95;0;1092;169;0
1;16;2;0;0;42;99;4.40;1;1;1;110;0;4299;3192;0
1;16;2;0;2;36;96;4.20;1;1;1;112;0;15696;11382;0
1;16;2;0;3;32;35;4.40;1;1;1;110;0;21235;5525;0
1;16;2;0;4;27;99;3.40;4;2;1;108;0;26799;-2;0
1;16;2;0;5;53;28;4.40;1;1;1;108;0;35328;14078;0
1;16;2;0;6;12;75;1.00;1;1;1;1;1;37275;1932;0
1;16;2;0;6;18;30;3.20;4;2;1;97;0;37830;11019;0
1;16;2;0;6;48;99;3.40;4;2;1;99;0;40899;3057;0
1;16;2;0;7;9;28;3.80;4;2;1;111;0;42928;2016;0
1;16;2;0;9;51;66;2.60;1;1;1;101;0;59166;23823;0
1;16;2;0;10;24;47;3.80;1;1;1;112;0;62447;3271;0
1;16;2;0;10;40;99;3.60;4;2;1;110;0;64099;21158;0
1;16;2;0;12;27;53;3.80;1;1;1;81;0;74753;12293;0
1;16;2;0;12;31;99;21.00;1;1;5;104;0;75199;429;0
1;16;2;0;14;0;99;3.40;4;2;1;100;0;84099;19988;0
1;16;2;0;14;3;3;5.80;1;1;1;104;0;84303;9031;0
1;16;2;0;15;55;99;3.60;1;1;1;103;0;95599;11275;0
1;16;2;0;16;9;11;3.60;1;1;1;89;0;96911;1299;0
1;16;2;0;18;36;2;3.80;4;2;1;112;0;111602;27490;0
1;16;2;0;18;57;31;4.20;4;2;1;106;0;113731;2116;0
1;16;2;0;19;9;88;3.60;4;2;1;91;0;114988;1242;0
1;16;2;0;19;48;99;10.00;4;2;2;89;0;118899;3896;0
1;16;2;0;20;2;5;3.80;1;1;1;121;0;120205;23279;0
1;16;2;0;20;34;42;21.40;1;1;5;81;0;123442;3225;0
1;16;2;0;20;46;31;23.80;1;1;5;82;0;124631;1093;0
1;16;2;0;22;5;17;6.80;4;2;1;103;0;132517;13577;0
1;16;2;0;22;42;11;4.00;1;1;1;106;0;136211;11475;0
1;16;2;0;22;52;87;3.00;4;2;1;52;0;137287;4746;0
1;16;2;0;23;0;26;3.80;3;2;1;89;0;138026;-2;0
1;16;2;0;23;46;99;3.80;1;1;1;102;0;142699;6474;0
1;16;2;0;23;47;99;4.00;4;2;1;82;0;142799;5491;0
1;16;2;0;26;28;99;3.80;4;2;1;85;0;158899;16082;0
1;16;2;0;27;3;99;3.60;1;1;1;111;0;162399;19686;0
